"","team","wins","losses","judgevotes","ptdiff","bowltotal","random"
"1","maple",3,0,9,50,493,0.225436616456136
"2","walnut",2,1,6,10,431,0.429671525489539
"3","dogwood",2,1,5,20,471,0.426907666493207
"4","spruce",2,1,5,10,347,0.615829307818785
"5","chestnut",1,0,5,8,408,0.306768506066874
"6","elm",1,1,3,-10,482,0.693102080840617
"7","oak",1,2,2,-17,446,0.274530522990972
"8","holly",0,2,2,2,414,0.0851359688676894
"9","cedar",0,2,2,-21,444,0.507478203158826
"10","poplar",0,2,0,-52,366,0.272305066231638
